Category,Name,ASIN,Seller,Date Shipped,Price($),Items Shipped,Returns,Revenue($),Ad Fees($)
Home,"HPD Half Price Drapes Heritage Plush Velvet Curtains for Living Room 50 X 96 (1 Panel), VPYC-198594-96, Aquarius Blue",B07VQZQ4ZJ,Amazon.com,09/09/2022 23:36,61.09,0,1,-61.09,-6.11
Home,"HPD Half Price Drapes Heritage Plush Velvet Curtains for Living Room 50 X 96 (1 Panel), VPYC-198594-96, Aquarius Blue",B07VQZQ4ZJ,Amazon.com,09/09/2022 23:36,61.09,0,1,-61.09,-6.11
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,3rd Party,09/09/2022 22:02,18.29,2,0,36.58,3.66
Home Improvement,addlon LED Outdoor String Lights 48FT with 2W Dimmable Edison Vintage Shatterproof Bulbs and Commercial Grade Weatherproof Strand - ETL Listed Heavy-D,B07QMKZWQF,3rd Party,09/09/2022 21:34,31.99,1,0,31.99,3.2
Home Improvement,addlon LED Outdoor String Lights 48FT with 2W Dimmable Edison Vintage Shatterproof Bulbs and Commercial Grade Weatherproof Strand - ETL Listed Heavy-D,B07QMKZWQF,3rd Party,09/09/2022 21:34,31.99,1,0,31.99,3.2
Home Improvement,addlon LED Outdoor String Lights 48FT with 2W Dimmable Edison Vintage Shatterproof Bulbs and Commercial Grade Weatherproof Strand - ETL Listed Heavy-D,B07QMKZWQF,3rd Party,09/09/2022 21:34,31.99,1,0,31.99,3.2
"Shoes, Handbags, Wallets, Sunglasses",Fur Mules for Women Leather Low Heel Loafers Pointed Toe Rabbit Furny Mule Flats Backless Slides,B08HLTBQHD,3rd Party,09/09/2022 21:26,49.72,1,0,49.72,1.99
Home,"Deco 79 Traditional Polystone Horse Sculpture, 14"" x 4"" x 15"", Brown",B007DIDMU2,Amazon.com,09/09/2022 20:05,58.99,1,0,58.99,5.9
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,3rd Party,09/09/2022 19:04,18.29,1,0,18.29,1.83
Home,"Bloomingville Woven Cotton Tassels (3 Styles) Tea Towels, 28"" L x 18"" W x 0"" H, Multicolor",B09TG76KD1,Amazon.com,09/09/2022 18:55,20.43,0,1,-20.43,-2.04
Clothing & Accessories,EXLURA Womens Square Neck Dress Long Puff Sleeve A-Line Casual Short Mini Dress,B09GM1LYF9,3rd Party,09/09/2022 18:20,38.99,1,0,38.99,1.56
Furniture,Chris Loves Julia x Loloi Jules JUL-07 Natural / Ocean Oriental Area Rug 7'-6" x 9'-6",B08KWLMN6X,Amazon.com,09/09/2022 17:24,188.24,0,1,-188.24,-18.82
Kitchen & Dining,"artisane,Havana Fruit Bowl,Paulownia Wood,Wooden Bowls for Decor,Parmesean brown",B092BDV63B,3rd Party,09/09/2022 17:20,49.95,0,1,-49.95,-5
Home,"Creative Co-Op DF2615 29"" H Thyme Topiary in Pot Faux Botanicals, Green",B084LLN2N3,Amazon.com,09/09/2022 16:54,45.5,0,1,-45.5,-4.55
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,3rd Party,09/09/2022 16:36,18.29,1,0,18.29,1.83
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,3rd Party,09/09/2022 16:03,18.39,1,0,18.39,1.84
Pet Food & Supplies,PetAmi Dog Poop Bag Holder | Dog Waste Bag Dispenser with Clip for Leash and Belt | Portable Fabric Doggy Waste Bag Holder for Walking Hiking Running ,B09GT9S76X,3rd Party,09/09/2022 15:22,12.99,1,0,12.99,1.3
Home,"DearHouse 5.5Ft Seeded Eucalyptus Garland, Artificial Vines Faux Eucalyptus Leaves Table Garland Artificial Eucalyptus Garland Greenery Wedding Backdr",B07MB3BTMG,3rd Party,09/09/2022 15:10,26.99,1,0,26.99,2.7
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,3rd Party,09/09/2022 12:54,18.39,1,0,18.39,1.84
Home Improvement,"LED Puck Lights, Shineled Wireless Puck Lights with Remote, Led Puck Lights with Remote Control, Led Under Cabinet Lighting, Dimmable Closet Light (6 ",B07J66RNWB,3rd Party,09/09/2022 12:20,13.99,0,1,-13.99,-1.4
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,3rd Party,09/09/2022 11:30,18.29,1,0,18.29,1.83
