Category,Name,ASIN,Date,Qty,Price($),Link Type,Indirect Sales,Device Type Group
Luggage,"F-color Clear Bag Stadium Approved, Clear Purse for Womem,Clear Crossbody Concert Bag with Mesh inner Pocket, Black",B07KF3ZHB1,09/09/2022 22:17,1,13.99,Short Mobile link creation,ndi,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,09/09/2022 17:59,1,18.29,Short Mobile link creation,di,PHONE
Baby & Nursery,"Medela Breast Milk Storage Bags, 100 Count, Ready to Use Breastmilk Bags for Breastfeeding, Self Standing Bag, Space Saving Flat Profile, Hygienically",B0723GXKJT,09/09/2022 17:45,1,13.99,Short Mobile link creation,ndi,PHONE
Office & School Supplies,Kids Art Easel with 29.5inch-44inch Height Adjustable Whiteboard&Chalkboard Double Sided Easel 360°Rotating Standing Art Easel for Kids Black,B09B7N93MV,09/09/2022 13:25,1,54.99,Influencer Page,ndi,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,09/09/2022 10:48,1,18.29,Short Mobile link creation,di,TABLET
Kitchen & Dining,"Salt and pepper grinder set, stainless steel manual pepper grinder, adjustable thickness, suitable for kitchen, barbecue, picnic, 2 packs",B094FXKKNL,09/09/2022 09:18,1,26.99,Influencer Page,ndi,PHONE
Kitchen & Dining,EXTRA LARGE Bread Box with 2 Lids - Metal Lid & Bamboo Lid - Black Bread Box for Kitchen Countertop - Holds 2+ Loaves - Farmhouse Metal Bread Box - Br,B096BKB9XC,09/09/2022 07:23,1,41.96,Influencer Page,ndi,PHONE
"Patio, Lawn & Garden","BlueMake Woven Seagrass Belly Basket for Storage Plant Pot Basket and Laundry, Picnic and Grocery Basket (Medium, Original)",B07GWMNTZ3,09/09/2022 06:37,1,18.99,Short Mobile link creation,ndi,PHONE
"Patio, Lawn & Garden","Mosser Lee ML0560 Spanish Moss, 250 Cubic Inches",B000QTO78Q,09/09/2022 06:37,2,3.97,Short Mobile link creation,ndi,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,09/09/2022 06:37,1,18.29,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,09/09/2022 06:36,1,18.29,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,09/09/2022 06:12,2,18.29,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,09/09/2022 06:07,1,18.29,Short Mobile link creation,di,PHONE
Grocery & Gourmet Food,"Manukora UMF 16+/MGO 600+ Raw Manuka Honey (250g/8.8oz) Authentic Non-GMO New Zealand Honey, UMF & MGO Certified, Traceable from Hive to Hand",B017TRQWLC,09/09/2022 06:04,1,55,Influencer Page,ndi,PHONE
Home Improvement,addlon LED Outdoor String Lights 48FT with 2W Dimmable Edison Vintage Shatterproof Bulbs and Commercial Grade Weatherproof Strand - ETL Listed Heavy-D,B07QMKZWQF,09/09/2022 04:28,1,31.99,Short Mobile link creation,di,PHONE
Automotive,"60 Pieces Car Adhesive Garbage Bags Portable Disposable Trash Bags Leak Proof Vomit Bags White Cartoon Trash Bags for Cars, Kitchens, Bedrooms, Kid's ",B08NJSDS93,09/09/2022 04:28,1,11.99,Short Mobile link creation,ndi,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 23:34,2,18.29,Short Mobile link creation,di,PHONE
Home Improvement,addlon LED Outdoor String Lights 48FT with 2W Dimmable Edison Vintage Shatterproof Bulbs and Commercial Grade Weatherproof Strand - ETL Listed Heavy-D,B07QMKZWQF,08/09/2022 22:52,2,31.99,Short Mobile link creation,di,PHONE
Home,"DearHouse 5.5Ft Seeded Eucalyptus Garland, Artificial Vines Faux Eucalyptus Leaves Table Garland Artificial Eucalyptus Garland Greenery Wedding Backdr",B07MB3BTMG,08/09/2022 21:51,1,26.99,Short Mobile link creation,di,PHONE
Home Improvement,addlon LED Outdoor String Lights 48FT with 2W Dimmable Edison Vintage Shatterproof Bulbs and Commercial Grade Weatherproof Strand - ETL Listed Heavy-D,B07QMKZWQF,08/09/2022 21:35,3,31.99,Short Mobile link creation,di,PHONE
Kitchen & Dining,"mDesign Plastic Divided Kitchen Organizer Bin Container Box w/ 4 Sections for Pantry, Fridge, Refrigerator, Countertop, Pantry - Hold Cereal, Snacks, ",B07TJKG5SC,08/09/2022 21:26,1,22.79,Influencer Page,ndi,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 21:07,5,18.39,Short Mobile link creation,di,PHONE
Home,"DearHouse 5.5Ft Seeded Eucalyptus Garland, Artificial Vines Faux Eucalyptus Leaves Table Garland Artificial Eucalyptus Garland Greenery Wedding Backdr",B07MB3BTMG,08/09/2022 21:07,2,26.99,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 20:54,1,18.39,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 20:39,1,18.39,Short Mobile link creation,di,PHONE
Home Improvement,addlon LED Outdoor String Lights 48FT with 2W Dimmable Edison Vintage Shatterproof Bulbs and Commercial Grade Weatherproof Strand - ETL Listed Heavy-D,B07QMKZWQF,08/09/2022 20:03,1,31.99,Short Mobile link creation,di,PHONE
Home,"Deco 79 Traditional Polystone Horse Sculpture, 14"" x 4"" x 15"", Brown",B007DIDMU2,08/09/2022 19:47,1,58.99,Short Mobile link creation,di,PHONE
Furniture,"JARLINK 2 Pack 6-Shelf Over Door Hanging Organizer, Wall Mount Storage for Bedroom or Kitchen, Clear Window and PVC Pocket for Storage Cosmetics, Stat",B095P92LM2,08/09/2022 19:35,1,35.99,Influencer Page,ndi,PHONE
Pet Food & Supplies,"Earth Rated Dog Poop Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Unscented, 270 Count",B00LAI9OM6,08/09/2022 19:33,1,13.99,Short Mobile link creation,ndi,PHONE
Pet Food & Supplies,PetAmi Dog Poop Bag Holder | Dog Waste Bag Dispenser with Clip for Leash and Belt | Portable Fabric Doggy Waste Bag Holder for Walking Hiking Running ,B09GT9S76X,08/09/2022 19:33,1,12.99,Short Mobile link creation,ndi,PHONE
